,Unnamed: 0,screen_name,text,timestamp,longitude,latitude,hashtags,location
0,0,SocieteFM,"Bien avant Facetime, Skype et les textos (gratuit), les appels interurbains étaient la seule façon de parler avec n… https://t.co/siEXuFWdFM",2017-02-14,,,,"Winnipeg, Manitoba"
1,1,canada150e,RT @CitImmCanFR: Nous avons tenu une cérémonie de citoyenneté spéciale avec les @NHLFlames hier et célébré le Jour du drapeau!… ,2017-02-14,,,,Gatineau
2,2,CNW150Canada,RT @canada150e: #BaldeNeige 2017 est l’occasion idéale de profiter de l’hiver canadien et la fête commence aujourd’hui! #Canada150… ,2017-02-14,,,BaldeNeige,Canada
3,3,INFC_fra,"Il y a 191 ans, le colonel John By a créé #CanalRideau &amp; fondé marchéBy. Son empreinte survit partout @Ottawaville… https://t.co/u3BEP6eeih",2017-02-14,,,CanalRideau,Canada
4,4,EmChill,"RT @INFC_fra: Il y a 191 ans, le colonel John By a créé #CanalRideau &amp; fondé marchéBy. Son empreinte survit partout @Ottawaville… ",2017-02-14,,,CanalRideau,
5,5,PNFundy,Plusieurs postes pour étudiant(e)s sont disponibles. Joignez-vous à Parcs Canada! #parcsavie #Canada150… https://t.co/65ITcN0f3G,2017-02-14,,,parcsavie,"Alma, NB Canada"
6,6,GeorgeFureyNL,Âgé de 12-17? Dis-nous ce que représente le Parlement pour toi et cours la chance de voyager à Ottawa! #Canada150… https://t.co/Nw7z9vR90d,2017-02-14,,,Canada150,St. John's
7,7,noahsidel,150 raisons j'aime mon pays pour le #Canada150: 20) Le mariage gaie est légal depuis plus d'une décennie.,2017-02-14,,,Canada150,Canada
8,8,Sensliberaux,RT @GeorgeFureyNL: Âgé de 12-17? Dis-nous ce que représente le Parlement pour toi et cours la chance de voyager à Ottawa! #Canada150… ,2017-02-14,,,Canada150,
9,9,ONPARLeducation,RT @BiblioArchives: Le Bas-Canada et le Haut-Canada deviennent la Province du #Canada en février 1841. #ActeDUnion #Canada150… ,2017-02-14,,,Canada,"Toronto, Ontario, Canada"
10,10,sesqui2017,"Nous nous sentons sentimentaux, donc voici une lettre d’amour au Canada. #SaintValentin! https://t.co/WjusddrafC #Canada150 #rêvonsensemble",2017-02-14,,,SaintValentin,Across Canada in 2017
11,11,EmmanuelLauren2,RT @BiblioArchives: Le Bas-Canada et le Haut-Canada deviennent la Province du #Canada en février 1841. #ActeDUnion #Canada150… ,2017-02-14,,,Canada,France
12,12,louisaubin,Le Bas-Canada (Québec) se fait annexer (objectif : assimilation) en plus d'éponger la grosse dette du haut-canada (… https://t.co/fHGsqUbCTy,2017-02-14,,,,
13,13,JCMorgane,RT @BiblioArchives: Le Bas-Canada et le Haut-Canada deviennent la Province du #Canada en février 1841. #ActeDUnion #Canada150… ,2017-02-14,,,Canada,Paris
14,14,AmbCanCuba,L’auteur Luc Chartrand fait la promotion de la littérature canadienne à Cuba à la #FILCuba2017 #Canada150 https://t.co/mNThG82AbY,2017-02-14,,,FILCuba2017,"Havane, Cuba"
15,15,Flibrocuba,RT @AmbCanCuba: L’auteur Luc Chartrand fait la promotion de la littérature canadienne à Cuba à la #FILCuba2017 #Canada150 https://t.co/mNTh…,2017-02-14,,,FILCuba2017,"La Habana, Cuba"
16,16,Monnaieroyale,En primeur demain! Nous dévoilerons une nouvelle pièce #Canada150. Revenez nous voir demain pour le grand dévoilement,2017-02-14,,,Canada150,"Ottawa, Canada"
17,17,ForSinceAgo,RT @BiblioArchives: Le Bas-Canada et le Haut-Canada deviennent la Province du #Canada en février 1841. #ActeDUnion #Canada150… ,2017-02-14,,,Canada,
18,18,CanadaLoverCA,RT @BiblioArchives: Le Bas-Canada et le Haut-Canada deviennent la Province du #Canada en février 1841. #ActeDUnion #Canada150… ,2017-02-14,,,Canada,Canada
19,19,Promusica_sv,"RT @AFSanSalvador: What a fantastic treat! Quel régal, chers amis de @AmbCanSV! #Canada150 #ElSalvador @ShuffleDemons @JazzFestSV… ",2017-02-14,,,Canada150,El Salvador
20,20,nova0000scotia,#Canada150 #BellLetsTalk #TheBullyProject @TheDailyShow #KEANU Maritime Bhangra Group teache CanadianMinisters dance https://t.co/ES0jqtppRO,2017-02-14,,,Canada150,Nova Scotia
21,21,ReseauFemmes,RT @BiblioArchives: #EnCeJour 1968: La contralto néo-écossaise #PortiaWhite s’éteint. #MoisDeLHistoireDesNoirs @CitImmCanFR #Canada150… ,2017-02-14,,,EnCeJour,Vancouver BC
22,22,AmbCanCuba,L’auteure Christy Jordan-Fenton fait la promotion de la littérature canadienne à Cuba à la #FILCuba2017 #Canada150 https://t.co/1sO7eaTFAt,2017-02-14,,,FILCuba2017,"Havane, Cuba"
23,23,Securite_Canada,RT @canada150e: Une histoire d’amour touchante pour la St-Valentin. https://t.co/555T5vSwDW #CRRF #Canada150,2017-02-14,,,CRRF,Canada
24,24,bakopanos_eleni,RT @melaniejoly: Petit déjeuner avec les sénateurs récemment nommés. Heureuse de les rencontrer pour discuter art et #canadaculture… ,2017-02-14,,,canadaculture,
25,25,BLT_RT_Bot,RT @nova0000scotia: #Canada150 #BellLetsTalk #TheBullyProject @TheDailyShow #KEANU Maritime Bhangra Group teache CanadianMinisters dance ht…,2017-02-14,,,Canada150,Everywhere
26,26,ReseauFCM,Défi photo #Canada150: Partagez vos photos prises dans votre #muni150 du drapeau canadien! https://t.co/TGormajbHi,2017-02-14,,,Canada150,"Ottawa, ON"
27,27,AmbCanCuba,L’auteure Margaret Pokiak-Fenton fait la promotion de la littérature canadienne à Cuba à la #FILCuba2017 #Canada150 https://t.co/LYgMR2GBt0,2017-02-14,,,FILCuba2017,"Havane, Cuba"
28,28,beaux_arts_ca,Laissez vos enfants passer une semaine avec nous pendant #Canada150! Camps de jour cet été pour 6 à 10 et 8 à 12 an… https://t.co/ixryt1MHdJ,2017-02-14,,,Canada150,"Ottawa, Ontario, Canada"
29,29,halexmit,"RT @melaniejoly: Cet après-midi, j’ai eu le plaisir de dévoiler la nouvelle épinglette du Sesquicentennaire pour mes collègues parle… ",2017-02-14,,,,Kingston Ontario Canada
30,30,FCF,RT @environnementca: Offrez-vous un rendez-vous inoubliable dans la #nature cdn en cet #hiver fantastique. #StValentin 💗 #Canada150… ,2017-02-14,,,nature,Canada
31,31,AmbCanCuba,L’auteure Constance Brissenden fait la promotion de la littérature canadienne à Cuba à la #FILCuba2017 #Canada150 https://t.co/yfuUSq6Fw5,2017-02-14,,,FILCuba2017,"Havane, Cuba"
32,32,ParcsCanYukon,RT @environnementca: Offrez-vous un rendez-vous inoubliable dans la #nature cdn en cet #hiver fantastique. #StValentin 💗 #Canada150… ,2017-02-14,,,nature,Yukon
33,33,BusqueCarlos,"RT @Alupa_Clarke: Soyons fiers de notre drapeau Canadien. Commémorons ensemble ce symbole du Canada, le 15 février #polcan #canada150 https…",2017-02-14,,,polcan,Ville/Quebec/city Canada
34,34,CanadaTunisie,#LSV? Ce dessin était parmi les 3 finalistes en 1964 en vue de l’adoption d’un nouveau #drapeaucanadien. #Canada150… https://t.co/GvHxxMNjno,2017-02-14,,,LSV,Tunisie
35,35,2019CanadaGames,"RT @SportCanada_Fr: Dès aujourd’hui, de jeunes étudiants de partout au pays se lancent le défi d’être actifs! #Canada150 @CanadaGames… ",2017-02-14,,,Canada150,"Red Deer, AB"
36,36,L0cutux,"RT @Juicexlx: @mtlay Oui, j'ai vu. C'est zéro intégration et maximum ghettos. Le tout avec la bénédiction des PLQ et du CACANADA #PolQC #ca…",2017-02-14,,,PolQC,
37,37,sentierTC,"#Ottawa a été désignée capitale du Canada en 1857. En 2017, c'est l'endroit où fêter! https://t.co/vaNZfRRotN… https://t.co/ggUO3cQTLm",2017-02-14,,,Ottawa,Canada
38,38,salut_galarneau,"Merci pour le clin d'oeil jacyntheaubut et tes amies de poche

#canada150 #kingston150 #muni150… https://t.co/xOoGRxECZZ",2017-02-14,,,canada150,Kingston
39,39,legrandsentier,"#Ottawa a été désignée capitale du Canada en 1857. En 2017, c'est l'endroit où fêter! https://t.co/oVVbwHhyoG… https://t.co/d9LodeAOKZ",2017-02-14,,,Ottawa,
40,40,_GenesisCentre,Venez à notre Centre demain pour découvrir certaines émissions #Canada150 organisées dans le cadre du #NationalFlagDay.,2017-02-15,,,Canada150,"Calgary, Alberta"
